doc,sentence
3,"data steward – faculty of applied sciences faculty of mechanical, maritime and materials engineering."
3,"data steward – faculty of applied sciences faculty of mechanical, maritime and materials engineering."
3,published.
3,deadline.
3,location.
3,21 aug.
3,16 sep.
3,delft.
3,job description.
3,your main task is to advise researchers on data management.
3,you will .
3,"act as spokesperson for your faculty, create awareness and explain to researchers the added value of good data management."
3,"lead the development and implementation of faculty’s data management policy, with understanding of faculty-specific needs."
3,"assist in planning the collection, management and publication of data in research projects."
3,explore and analyse trends in research data management specific to your faculty.
3,advise on short- and long-term actions to advance research data management at the faculty and across the university.
3,develop and run training events tailored to researchers’ needs and inspire researchers to participate.
3,assess and report on the progress of the project.
3,"specifications. max. 38 hours per week, temporary. €2640—€4166 per month."
3,delft view on google maps.
3,delft university of technology (tu delft).
3,requirements.
3,we are looking for enthusiastic candidates who will .
3,have experience in managing research data.
3,knowledge of software management would be a plus.
3,have (or are studying for) a phd in a relevant subject area (desirable).
3,have a broad understanding of how research operates and how data and software underpins high-quality research.
3,"be excellent communicators, able to speak not only with researchers, but also with other support staff, and are sensitive to organisation-specific culture and practices."
3,"be fluent in english, and who will understand dutch and will be willing to learn it."
3,conditions of employment.
3,"this position has an amount of 38 (1,0 fte) working hours per week."
3,the offer contains a temporary appointment for 1 year with prospect of extension.
3,"the salary is based on scale 10 with a minimum of 2.640,- and a maximum of € 4.166,- per month on a fulltime basis."
3,"the tu delft offers a customisable compensation package, a discount for health insurance and sport memberships, and a monthly work costs contribution."
3,flexible work schedules can be arranged.
3,an international children’s centre offers child care and an international primary school.
3,dual career services offers support to accompanying partners.
3,salary and benefits are in accordance with the collective labour agreement for dutch universities.
3,employer.
3,delft university of technology.
3,delft university of technology (tu delft) is a multifaceted institution offering education and carrying out research in the technical sciences at an internationally recognised level.
3,"education, research and design are strongly oriented towards applicability."
3,"tu delft develops technologies for future generations, focusing on sustainability, safety and economic vitality."
3,at tu delft you will work in an environment where technical sciences and society converge.
3,"tu delft comprises eight faculties, unique laboratories, research institutes and schools. https www.tudelft.nl."
3,department.
3,"faculty mechanical, maritime and materials engineering."
3,"the 3me faculty trains committed engineering students, phd candidates and post-doctoral researchers in groundbreaking scientific research in the fields of mechanical, maritime and materials engineering. 3me is the epitome of a dynamic, innovative faculty, with a european scope that contributes demonstrable economic and social benefits."
3,faculty of applied sciences.
3,"the faculty of applied sciences is the largest faculty of tu delft, with around 550 scientists, a support staff of 250 and 1,800 students."
3,"the faculty conducts fundamental, application-oriented research and offers scientific education at the bachelor, master and doctoral levels."
3,"the faculty is active in the fields of life and health science and technology, nanoscience, chemical engineering, radiation science and technology, and applied physics. https www.tudelft.nl en 3me."
3,additional information.
3,tu delft’s data stewardship project aims at addressing data management needs across the campus in a disciplinary manner by appointing a subject-specific data steward at every tu delft faculty.
3,"we are now looking to appoint a data steward for the faculty of applied sciences, or the faculty of mechanical, maritime and materials engineering."
3,the data steward will take the lead in engaging researchers in better data management practices.
3,more information about the project can be found here https www.tudelft.nl en library current-topics research-data-management research-data-management data-stewardship .
3,"for more information about this position, please contact marta teperek, data stewardschip coordinator, e-mail m.teperek@tudelft.nl."
3,"for more information about the selection procedure, please contact ruth vidal, phone +31 (0)15-2781223, e-mail po.ud@tudelft.nl."
3,"to apply, please e-mail a detailed cv along with a letter of application by 16 september to marta teperek, e-mail po.ud@tudelft.nl."
3,"when applying for this position, please refer to vacancy number at ud tudl 2018-11."
3,shortlisted candidates will be notified on 24 september 2018.
3,"the first round of interviews will take place on 3 october, and the second round of interviews on 11 october."
